% Automatically generated by xml2arff
@relation feat-pos-am-class
@attribute pos_pattern {N#S#A#S#N#S,A#S#A#S#A#S#N#S,N#S#N#S#N#S#N#S#N#S,A#S#N#S#N#S#N#S#NUM#S,N#S#N#S#N#S,A#S#CC#S#A#S#N#S,N#S#N#S,A#S#N#S,A#S#N#S#N#S,N#S#NUM#S,A#S#A#S#N#S#N#S,A#S#A#S#N#S,FW#S#FW#S,A#S#N#S#N#S#N#S,N#S#N#S#N#S#N#S}
@attribute n integer
@attribute mle_corpus real
@attribute pmi_corpus real
@attribute t_corpus real
@attribute dice_corpus real
@attribute mle_yahoo real
@attribute pmi_yahoo real
@attribute t_yahoo real
@attribute dice_yahoo real
@attribute reference {True,False}
@data
N#S#N#S,2,0.000156201187129,22.481259001,1.41112093665,0.222222222222,3.56e-05,39.907488302,1269.47762427,0.0270928462709,False
N#S#N#S,2,0.000156201187129,23.2886139231,1.41244634767,0.333333333333,1.65e-07,31.5465086475,-1357.11399472,2.99346879536e-05,False
A#S#N#S#N#S#N#S,4,0.000156201187129,71.0844820557,1.41421356119,0.25,8.68e-07,128.303161725,208.326604537,0.000227820326402,False
A#S#N#S,2,0.000624804748516,17.7743930137,2.66689265622,0.104575163399,2.1e-05,29.1304396031,-86157.6499503,0.000496749408242,False
N#S#N#S,2,0.000234301780694,25.7036514224,1.73164498498,1.0,4.4e-06,46.4374536296,468.795474131,0.0888888888889,False
A#S#N#S,2,0.000156201187129,26.2886139231,1.41399266054,1.0,1.53e-06,43.0993295568,275.118726861,0.000888925039798,False
FW#S#FW#S,2,0.000546704154952,23.1186889216,2.6420318856,0.56,0.00065,36.7516390757,3237.30130335,0.0262681065114,False
N#S#N#S,2,0.000937207122774,18.6164832793,3.35374041677,0.166666666667,8.72e-06,30.058269641,-28870.3105201,0.000335193342847,False
N#S#N#S,2,0.000156201187129,19.2469547715,1.38510974531,0.0833333333333,1.068e-06,42.5057375957,229.234115163,0.00476807000313,False
N#S#N#S,2,0.000156201187129,19.1800894663,1.38372910883,0.0519480519481,1.152e-05,35.4095463986,-72.5215676732,0.000832851359167,False
A#S#N#S,2,0.000468603561387,20.6447577333,2.4303590825,0.244897959184,1.94e-06,42.423279888,308.807791218,0.00427087002466,True
N#S#N#S,2,0.000234301780694,20.3344176127,1.71527680725,0.0882352941176,2e-10,34.7948962773,-2.14244311476,2.98007077668e-07,False
N#S#N#S#N#S#N#S,4,0.000156201187129,69.9801453959,1.41421355982,0.125,8.36e-09,111.875407435,19.9084556264,5.79452252914e-07,False
A#S#N#S#N#S,3,0.000156201187129,51.9922653455,1.41421351062,0.857142857143,5.86e-08,84.8115210614,54.1254881841,2.21567406653e-05,False
N#S#N#S,2,0.000546704154952,21.1860757614,2.63155255196,0.28,1.354e-06,32.9607713766,-1296.07248999,0.000432311621967,False
N#S#N#S#N#S,3,0.000937207122774,41.4456655838,3.46391199109,0.21686746988,1.064e-06,72.2530432865,128.189325319,5.99530372308e-05,False
